20140901,361776970,345236643
20140902,362454241,346054102
20140903,363131512,346871561
20140904,363808783,347689019
20140905,364486055,348506478
20140906,365163326,349323937
20140907,365840597,350141396
20140908,366517868,350958855
20140909,367195139,351776313
20140910,367872410,352593772
20140911,368549681,353411231
20140912,369226953,354228690
20140913,369904224,355046149
20140914,370581495,355863607
20140915,371258766,356681066
20140916,371936037,357498525
20140917,372613308,358315984
20140918,373290579,359133442
20140919,373967851,359950901
20140920,374645122,360768360
20140921,375322393,361585819
20140922,375999664,362403278
20140923,376676935,363220736
20140924,377354206,364038195
20140925,378031478,364855654
20140926,378708749,365673113
20140927,379386020,366490572
20140928,380063291,367308030
20140929,380740562,368125489
20140930,381417833,368942948
