20130701 32488348.00 382160.00
20130702 29037390.00 350066.00
20130703 27270770.00 454406.00
20130704 18321185.00 535391.00
20130705 11648749.00 697926.00
20130706 36751272.00 300533.00
20130707 8962232.00 336880.00
20130708 57258266.00 852530.00
20130709 26798941.00 765509.00
20130710 30696506.00 603737.00
20130711 44075197.00 981695.00
20130712 34183904.00 1371072.00
20130713 15164717.00 309654.00
20130714 22615303.00 592038.00
20130715 48128555.00 1521794.00
20130716 50622847.00 1529687.00
20130717 29015682.00 2109498.00
20130718 24234505.00 3195410.00
20130719 33680124.00 1204252.00
20130720 20439079.00 1780862.00
20130721 21142394.00 761299.00
20130722 40448896.00 605231.00
20130723 58136147.00 2173231.00
20130724 48422518.00 712047.00
20130725 57433418.00 1557611.00
20130726 44721817.00 1035450.00
20130727 17194451.00 1922114.00
20130728 36255382.00 1161872.00
20130729 53512076.00 1202332.00
20130730 47481243.00 1318647.00
20130731 54569637.00 1191442.00
20130801 53369962.00 1935577.00
20130802 38064536.00 1140935.00
20130803 21595789.00 1725397.00
20130804 45745254.00 1389042.00
20130805 43632203.00 1757807.00
20130806 50866184.00 2956008.00
20130807 43908081.00 1552975.00
20130808 44493490.00 1136867.00
20130809 33425186.00 3500833.00
20130810 20615307.00 1290443.00
20130811 55519543.00 925608.00
20130812 94520502.00 2062992.00
20130813 48720919.00 3646077.00
20130814 30541167.00 2060843.00
20130815 42421222.00 6412165.00
20130816 41683536.00 1588741.00
20130817 17670519.00 1555761.00
20130818 59703092.00 1049130.00
20130819 109184209.00 2827001.00
20130820 53675509.00 2331156.00
20130821 38184446.00 1487466.00
20130822 89130737.00 2011337.00
20130823 37878575.00 2928413.00
20130824 44367268.00 3151997.00
20130825 43306288.00 1946279.00
20130826 74496541.00 3918170.00
20130827 45268028.00 1713586.00
20130828 46602319.00 3193850.00
20130829 47518666.00 9618879.00
20130830 56488844.00 7687108.00
20130831 47655303.00 3582164.00
20130901 56239802.00 8984938.00
20130902 140844739.00 4903664.00
